54.683	25.317	543071	40
54.900	23.900	336817	43
55.717	21.117	177823	59
54.950	25.067	120934	32
55.733	24.350	109034	56
54.400	24.050	63651	38
54.517	25.317	44910	49
55.400	24.700	38840	67
55.083	24.283	33178	37
55.500	25.600	31142	64
55.283	23.967	29850	45
55.983	22.250	29119	43
55.600	26.417	26805	66
55.250	22.283	26444	45
55.250	24.750	25886	39
55.917	21.850	22311	63
55.883	21.250	20776	32
55.350	21.483	19751	60
55.483	24.150	18453	45
55.917	21.050	17244	61
55.717	21.400	16314	37
54.017	23.967	15547	63
54.411	24.018	14960	40
55.967	25.583	14947	31
56.200	24.750	13780	41
54.767	24.633	13248	30
54.817	23.867	12938	61
56.000	22.933	12721	50
55.067	22.767	12510	52
54.650	23.033	12483	65
55.367	23.117	11644	49
55.533	25.100	11400	62
54.650	25.050	11277	38
54.683	25.083	11121	38
56.317	22.900	10733	40
54.633	23.950	10489	35
54.395	23.997	10489	31
55.067	25.650	10312	32
55.633	22.933	9984	36
54.217	24.567	9771	40
54.867	24.450	9395	48
56.067	24.400	7997	62
55.833	24.967	7833	53
55.733	26.250	7349	32
56.267	21.533	6920	57
55.233	25.417	6771	38
54.450	23.294	6658	63
55.050	24.950	6654	31
54.300	25.383	6402	59
54.893	23.917	6330	59
54.550	22.800	6286	39
55.000	25.783	5995	43
55.167	26.000	5950	52
55.467	22.200	5843	33
55.350	26.167	5839	33
54.850	25.483	5830	46
54.650	22.750	5797	33
55.150	26.167	5479	57
55.967	23.867	5460	60
54.633	24.933	5172	55
54.767	24.800	4868	47
54.400	23.233	4811	69
54.233	23.517	4697	44
55.367	21.067	3846	42
55.733	21.933	3727	44
54.800	24.450	3647	53
54.167	25.000	3478	34
55.267	23.467	3188	58
54.617	24.033	3074	34
55.767	23.767	2975	34
56.200	22.700	2743	62
55.600	23.200	2516	69
55.517	23.267	2491	54
54.517	24.833	2403	35
55.050	23.583	2289	43
56.233	22.517	2115	44
55.150	21.900	2108	40
55.317	23.133	1981	37
54.844	24.172	1960	43
55.239	22.250	1891	33
54.883	23.617	1889	36
54.463	22.520	1875	59
55.083	22.983	1824	61
55.417	22.617	1815	63
55.400	22.583	1815	56
56.067	21.567	1714	36
56.083	23.983	1679	39
54.400	23.650	1648	34
55.517	24.300	1645	34
55.550	21.317	1594	64
54.947	24.031	1583	32
54.100	23.700	1485	43
54.600	25.175	1387	42
54.367	24.333	1343	50
56.033	24.167	1318	63
55.908	21.283	1254	48
54.600	24.167	1234	47
55.933	25.800	1204	41
54.925	23.808	1196	58
55.781	24.361	1158	34
54.633	22.817	1155	33
55.750	22.367	1145	35
56.167	22.100	1129	67
55.967	24.750	1072	54
54.450	25.133	1046	67
55.733	24.783	1036	39
55.739	25.828	1000	59
54.992	23.950	973	47
55.700	24.383	962	60
54.544	23.417	912	59
55.533	26.333	908	36
56.017	25.217	903	65
56.331	22.314	868	43
55.922	23.422	856	56
55.783	22.650	788	48
54.606	23.400	786	57
54.858	23.872	783	38
54.036	24.031	782	51
55.750	25.850	778	56
55.047	24.942	744	37
54.844	23.883	742	43
54.742	23.664	727	69
55.772	23.731	711	53
55.144	23.789	705	40
56.219	24.722	703	31
55.653	23.769	698	48
55.300	21.669	693	57
54.808	25.239	689	33
55.981	25.711	678	41
54.397	25.356	670	64
55.433	24.917	664	66
54.431	23.403	653	69
55.794	21.372	650	49
55.669	24.369	649	39
54.561	23.406	648	69
55.714	24.400	638	30
55.531	23.964	621	62
55.806	25.036	620	36
54.381	25.383	620	66
56.078	24.364	615	46
55.167	21.814	606	47
56.111	24.489	603	61
54.503	23.372	602	44
54.861	23.069	589	45
54.383	24.133	588	57
55.986	23.881	576	36
55.117	23.817	573	69
54.725	23.200	571	55
55.872	23.492	569	31
55.083	22.583	569	35
54.639	22.975	569	40
56.131	24.478	552	66
54.919	23.817	552	54
55.533	25.281	545	50
54.836	24.589	530	60
55.378	22.969	518	33
55.047	23.589	506	52
55.731	21.431	501	56
56.008	21.353	500	52
54.525	25.264	498	48
54.225	23.497	493	52
56.333	22.881	490	55
55.761	24.900	485	35
56.014	22.908	481	65
56.247	22.869	477	63
55.936	23.244	472	37
54.636	22.822	465	46
55.792	24.444	463	34
54.733	23.011	459	57
55.714	21.367	458	47
54.681	25.531	457	65
54.553	23.286	457	31
55.656	22.919	452	54
55.767	24.083	446	39
55.350	23.547	443	60
55.086	22.581	440	51
54.550	25.286	439	55
54.758	24.842	437	38
55.942	23.717	436	53
54.628	23.047	434	65
54.881	23.261	432	49
56.250	21.942	430	31
55.725	23.714	430	31
54.908	25.586	424	36
54.975	25.850	423	54
55.769	23.844	422	69
54.661	22.847	422	44
55.153	21.986	416	68
56.344	23.308	415	48
56.339	21.858	415	65
54.369	23.883	415	48
54.872	25.792	414	35
56.114	24.350	412	53
56.175	23.044	411	48
54.500	23.458	411	63
54.975	24.075	410	61
55.658	23.786	406	56
54.753	24.758	404	48
55.556	24.622	402	51
54.547	23.072	400	49
55.653	22.967	398	60
56.200	22.669	397	65
55.728	21.400	396	68
54.853	23.889	394	53
55.219	24.039	393	40
54.878	25.242	390	38
55.392	23.042	389	42
56.192	24.836	387	45
54.461	23.692	387	59
54.631	23.089	386	39
55.719	21.947	382	48
54.306	24.964	381	44
54.667	23.186	376	33
56.158	24.442	375	57
56.122	21.764	373	69
56.092	23.664	373	50
55.403	22.897	373	53
54.675	23.947	373	69
54.897	25.481	369	41
55.578	24.900	368	63
56.342	22.328	367	63
56.061	24.156	367	47
55.967	24.425	367	55
55.492	24.486	366	61
56.247	22.519	363	69
55.714	24.256	363	59
54.814	23.892	363	48
54.356	24.639	363	36
55.703	21.933	362	45
54.903	22.844	361	68
54.350	24.844	359	65
55.656	23.256	357	37
54.717	23.100	357	56
56.336	23.664	356	33
56.272	22.789	356	34
55.069	22.550	356	54
54.828	24.183	356	33
54.111	24.025	353	48
56.178	21.669	351	65
55.589	24.856	351	46
54.769	24.439	351	57
55.845	24.973	350	69
55.261	23.214	348	39
55.642	24.592	346	39
54.492	23.203	346	47
56.000	22.881	345	33
55.783	23.272	344	31
55.453	25.611	340	65
56.053	24.336	339	48
56.019	25.472	339	43
56.003	23.858	338	38
54.989	24.878	338	56
54.900	24.594	337	37
54.447	24.119	337	58
56.222	23.578	335	56
54.708	23.025	334	43
55.150	26.031	333	39
54.567	23.856	331	36
55.300	24.789	330	54
54.172	24.922	330	50
55.292	23.350	329	59
54.544	23.647	329	36
55.950	25.786	328	69
55.786	23.942	328	61
55.456	22.722	327	43
55.508	25.237	326	41
54.358	24.125	325	58
56.022	24.356	324	30
55.889	21.719	324	52
55.414	22.517	324	45
56.075	24.417	323	47
54.839	24.036	323	35
56.122	23.583	322	33
55.553	21.333	321	65
54.764	25.044	321	36
54.686	23.014	320	63
55.556	25.744	319	38
56.242	22.497	318	46
55.331	23.422	318	43
54.675	23.278	318	65
55.972	24.111	317	57
55.981	21.350	316	52
54.825	25.283	313	57
54.433	23.267	312	32
54.964	23.981	311	60
56.031	24.169	310	38
55.269	22.600	307	30
54.361	23.986	307	67
54.433	23.756	305	46
56.181	22.689	303	61
55.311	21.597	302	44
55.375	25.028	300	66
54.942	23.711	300	63
54.486	25.247	300	44
56.206	24.150	299	56
55.797	24.772	299	51
55.842	22.511	298	69
55.561	23.386	298	47
54.994	25.339	296	65
56.189	22.722	294	36
56.158	22.111	294	45
55.106	24.247	293	31
54.594	24.156	293	42
55.972	24.781	292	33
55.264	23.967	292	65
55.228	21.694	292	32
55.033	26.161	292	52
54.150	25.075	292	41
55.392	24.889	291	52
55.175	22.694	291	62
